,sentID.BTEC,split,lang,sent,sent_kuwaiti_GPT_Translated,sent_kuwaiti,Type (B/H),Translator Initials,sent_kuwaiti_punctuation_removed,sent_punctuation_removed,sent_kuwaiti_punctuation_removed_and_tashkeel,sent_punctuation_removed_and_tashkeel,sent_kuwaiti_punctuation_removed_and_tashkeel_and_normlaized,sent_punctuation_removed_and_tashkeel_and_normlaized
60,111,corpus-6-train,MSA,حسناً ، سيدي . فقد أتت بخيارين مقليات فرنسية أو أرز بالتوابل واللحم ، أيهما تحب ؟,حاضر، سيدي. هيّا بتختار بين البطاط المقلي أو عيش بالتوابل واللحم، شتفضل؟,حاضر ، سيدي. في اختيارين فرينش فرايز أو عيش مجبوس لحم، شنو تفضل؟,H,H,حاضر  سيدي في اختيارين فرينش فرايز أو عيش مجبوس لحم شنو تفضل,حسنا  سيدي  فقد أتت بخيارين مقليات فرنسية أو أرز بالتوابل واللحم  أيهما تحب ,حاضر  سيدي في اختيارين فرينش فرايز أو عيش مجبوس لحم شنو تفضل,حسنا  سيدي  فقد أتت بخيارين مقليات فرنسية أو أرز بالتوابل واللحم  أيهما تحب ,حاضر  سيدي في اختيارين فرينش فرايز او عيش مجبوس لحم شنو تفضل,حسنا  سيدي  فقد اتت بخيارين مقليات فرنسيه او ارز بالتوابل واللحم  ايهما تحب 
61,112,corpus-6-train,MSA,كيف أصل إلى ذلك المكان ؟,شلون أوصل لهذا المكان؟,شلون أوصل حق هذا المكان؟,H,H,شلون أوصل حق هذا المكان,كيف أصل إلى ذلك المكان ,شلون أوصل حق هذا المكان,كيف أصل إلى ذلك المكان ,شلون اوصل حق هذا المكان,كيف اصل الا ذلك المكان 
62,113,corpus-6-train,MSA,أي نوع من القصص هي ؟,شنو نوع هالقصص؟,شنو نوع هالقصص؟,H,H,شنو نوع هالقصص,أي نوع من القصص هي ,شنو نوع هالقصص,أي نوع من القصص هي ,شنو نوع هالقصص,اي نوع من القصص هي 
63,115,corpus-6-train,MSA,ثلاث مرات .,"ثلاث مرات تنقال بالكويتي ""ثلاث مرات"".",ثلاث مرات.,H,H,ثلاث مرات,ثلاث مرات ,ثلاث مرات,ثلاث مرات ,ثلاث مرات,ثلاث مرات 
64,116,corpus-6-train,MSA,أي نافذة تبيع الطوابع ؟,أي شباك يبيع الطوابع؟,أي شباك يبيع الطوابع؟,H,H,أي شباك يبيع الطوابع,أي نافذة تبيع الطوابع ,أي شباك يبيع الطوابع,أي نافذة تبيع الطوابع ,اي شباك يبيع الطوابع,اي نافذه تبيع الطوابع 
65,117,corpus-6-train,MSA,بعد أن هاجمني ، هرب في شاحنة بيضاء .,بعد ما هاجمني، هرب بشاحنة بيضا.,بعد ما هاجمني، هرب بالشاحنة البيضا.,H,H,بعد ما هاجمني هرب بالشاحنة البيضا,بعد أن هاجمني  هرب في شاحنة بيضاء ,بعد ما هاجمني هرب بالشاحنة البيضا,بعد أن هاجمني  هرب في شاحنة بيضاء ,بعد ما هاجمني هرب بالشاحنه البيضا,بعد ان هاجمني  هرب في شاحنه بيضاء 
66,119,corpus-6-train,MSA,حسنا . من فضلك احتفظ بهذه القسيمة وقدمها عندما تقوم بالاختيار .,تمام. من فضلك احتفظ بهالقسيمة وقدّمها لما تسوي اختيارك.,تمام. من فضلك احتفظ بهالقسيمة وقدّمها لما تسوي اختيارك.,H,H,تمام من فضلك احتفظ بهالقسيمة وقدمها لما تسوي اختيارك,حسنا  من فضلك احتفظ بهذه القسيمة وقدمها عندما تقوم بالاختيار ,تمام من فضلك احتفظ بهالقسيمة وقدمها لما تسوي اختيارك,حسنا  من فضلك احتفظ بهذه القسيمة وقدمها عندما تقوم بالاختيار ,تمام من فضلك احتفظ بهالقسيمه وقدمها لما تسوي اختيارك,حسنا  من فضلك احتفظ بهذه القسيمه وقدمها عندما تقوم بالاختيار 
67,120,corpus-6-test-corpus-26-test,MSA,كنت سأشتري هذا إن كنت في مكانك ؟,"""چان شريت هالشي لو كنت مكانك؟""",لو كنت مكانك چان شريت هالشي ؟,H,H,لو كنت مكانك چان شريت هالشي ,كنت سأشتري هذا إن كنت في مكانك ,لو كنت مكانك چان شريت هالشي ,كنت سأشتري هذا إن كنت في مكانك ,لو كنت مكانك چان شريت هالشي ,كنت ساشتري هذا ان كنت في مكانك 
68,122,corpus-6-train,MSA,مائتي دولار . فوري أم عبر البطاقات الائتمانية .,ميتين دولار. كاش ولا بالبطاقة؟,ميتين دولار. كاش ولا بالبطاقة؟,H,H,ميتين دولار كاش ولا بالبطاقة,مائتي دولار  فوري أم عبر البطاقات الائتمانية ,ميتين دولار كاش ولا بالبطاقة,مائتي دولار  فوري أم عبر البطاقات الائتمانية ,ميتين دولار كاش ولا بالبطاقه,ماءتي دولار  فوري ام عبر البطاقات الاءتمانيه 
69,125,corpus-6-train,MSA,كم من الوقت تستغرق السفينة لعبور هذا المحيط ؟,كم ياخذ وقت عشان تعبر السفينة هالمحيط؟,كم ياخذ وقت عشان تعبر السفينة هالمحيط؟,H,H,كم ياخذ وقت عشان تعبر السفينة هالمحيط,كم من الوقت تستغرق السفينة لعبور هذا المحيط ,كم ياخذ وقت عشان تعبر السفينة هالمحيط,كم من الوقت تستغرق السفينة لعبور هذا المحيط ,كم ياخذ وقت عشان تعبر السفينه هالمحيط,كم من الوقت تستغرق السفينه لعبور هذا المحيط 
70,128,corpus-6-train,MSA,هل علىّ أن أتجنب أنواع معينة من الطعام خلال فترة تناولي هذا الدواء ؟,هل عليّ أتجنب أنواع معينة من الأكل وأنا أستخدم هالدواء؟,هل لازم أتجنب أنواع معينة من الأكل وأنا أستخدم هالدواء؟,H,H,هل لازم أتجنب أنواع معينة من الأكل وأنا أستخدم هالدواء,هل على أن أتجنب أنواع معينة من الطعام خلال فترة تناولي هذا الدواء ,هل لازم أتجنب أنواع معينة من الأكل وأنا أستخدم هالدواء,هل على أن أتجنب أنواع معينة من الطعام خلال فترة تناولي هذا الدواء ,هل لازم اتجنب انواع معينه من الاكل وانا استخدم هالدواء,هل علا ان اتجنب انواع معينه من الطعام خلال فتره تناولي هذا الدواء 
71,129,corpus-6-test-corpus-26-train,MSA,هل لديك أحذية حريمي عند أصابع القدم ؟,عندكم نعالات حريمي مفتوحين من عند الأصابع؟,عندكم نعل حريمي مفتوحين من عند الأصابع؟,H,H,عندكم نعل حريمي مفتوحين من عند الأصابع,هل لديك أحذية حريمي عند أصابع القدم ,عندكم نعل حريمي مفتوحين من عند الأصابع,هل لديك أحذية حريمي عند أصابع القدم ,عندكم نعل حريمي مفتوحين من عند الاصابع,هل لديك احذيه حريمي عند اصابع القدم 
72,130,corpus-6-test-corpus-26-train,MSA,هل ستواجهني أية صعوبات في الجمارك ؟,هل بصيرلي مشاكل بالجمارك؟,راح اتصيرلي مشاكل بالجمارك؟,H,H,راح اتصيرلي مشاكل بالجمارك,هل ستواجهني أية صعوبات في الجمارك ,راح اتصيرلي مشاكل بالجمارك,هل ستواجهني أية صعوبات في الجمارك ,راح اتصيرلي مشاكل بالجمارك,هل ستواجهني ايه صعوبات في الجمارك 
73,131,corpus-6-train,MSA,هل لي ببعض النبيذ الأحمر ؟,ممكن آخذ شوي نبيذ أحمر؟,ممكن آخذ شوي عصير عوار قلب؟,H,H,ممكن آخذ شوي عصير عوار قلب,هل لي ببعض النبيذ الأحمر ,ممكن آخذ شوي عصير عوار قلب,هل لي ببعض النبيذ الأحمر ,ممكن اخذ شوي عصير عوار قلب,هل لي ببعض النبيذ الاحمر 
74,133,corpus-6-train,MSA,أخبرني عندما نصل إلى المتحف .,قولي لي لما نوصل المتحف.,قولي لي لما نوصل المتحف.,H,H,قولي لي لما نوصل المتحف,أخبرني عندما نصل إلى المتحف ,قولي لي لما نوصل المتحف,أخبرني عندما نصل إلى المتحف ,قولي لي لما نوصل المتحف,اخبرني عندما نصل الا المتحف 
75,134,corpus-6-dev,MSA,هل يذهب هذا الأتوبيس إلى فندق الشيراتون .,هالباص يروح فندق الشيراتون؟,هالباص يروح فندق الشيراتون؟,H,H,هالباص يروح فندق الشيراتون,هل يذهب هذا الأتوبيس إلى فندق الشيراتون ,هالباص يروح فندق الشيراتون,هل يذهب هذا الأتوبيس إلى فندق الشيراتون ,هالباص يروح فندق الشيراتون,هل يذهب هذا الاتوبيس الا فندق الشيراتون 
76,135,corpus-6-dev,MSA,إلى أي شيء وصل ذلك الأمر ؟,إلى وين وصل هالشي؟,لي وين وصل هالشي؟,H,H,لي وين وصل هالشي,إلى أي شيء وصل ذلك الأمر ,لي وين وصل هالشي,إلى أي شيء وصل ذلك الأمر ,لي وين وصل هالشي,الا اي شيء وصل ذلك الامر 
77,136,corpus-6-dev,MSA,إنه ساخن بدرجة بسيطة . هل يمكن أن أفتح النافذة ؟,ترجمتها بالكويتي: حار شوي، أقدر أفتح الدريشة؟,حر شوي، أقدر أفتح الدريشة؟,H,H,حر شوي أقدر أفتح الدريشة,إنه ساخن بدرجة بسيطة  هل يمكن أن أفتح النافذة ,حر شوي أقدر أفتح الدريشة,إنه ساخن بدرجة بسيطة  هل يمكن أن أفتح النافذة ,حر شوي اقدر افتح الدريشه,انه ساخن بدرجه بسيطه  هل يمكن ان افتح النافذه 
78,138,corpus-6-train,MSA,فقط دش يكفي .,بس دش يكفي.,بس دش يكفي.,H,H,بس دش يكفي,فقط دش يكفي ,بس دش يكفي,فقط دش يكفي ,بس دش يكفي,فقط دش يكفي 
79,139,corpus-6-dev,MSA,عيني محمرة قليلا .,عيني محمرة شوي.,عيني حمره شوي.,H,H,عيني حمره شوي,عيني محمرة قليلا ,عيني حمره شوي,عيني محمرة قليلا ,عيني حمره شوي,عيني محمره قليلا 
80,140,corpus-6-test-corpus-26-train,MSA,لا ، هل لي أن أقترح أخذ غرفة ذات سريرين للاستخدام الفردي ؟ فنحن لدينا واحدة .,لا، ممكن أقترح تاخذ غرفة بسريرين لاستخدام فردي؟ عندنا وحدة.,لا، ممكن أقترح تاخذ غرفة بسريرين لاستخدام فردي؟ عندنا وحدة.,H,H,لا ممكن أقترح تاخذ غرفة بسريرين لاستخدام فردي عندنا وحدة,لا  هل لي أن أقترح أخذ غرفة ذات سريرين للاستخدام الفردي  فنحن لدينا واحدة ,لا ممكن أقترح تاخذ غرفة بسريرين لاستخدام فردي عندنا وحدة,لا  هل لي أن أقترح أخذ غرفة ذات سريرين للاستخدام الفردي  فنحن لدينا واحدة ,لا ممكن اقترح تاخذ غرفه بسريرين لاستخدام فردي عندنا وحده,لا  هل لي ان اقترح اخذ غرفه ذات سريرين للاستخدام الفردي  فنحن لدينا واحده 
81,142,corpus-6-dev,MSA,لا أستطيع تأكيد ذلك لكنا سنبذل قصارى جهدنا .,ما أقدر أأكد لك بس بنسوي اللي نقدر عليه.,ما أقدر أأكد لك بس بنسوي اللي نقدر عليه.,H,H,ما أقدر أأكد لك بس بنسوي اللي نقدر عليه,لا أستطيع تأكيد ذلك لكنا سنبذل قصارى جهدنا ,ما أقدر أأكد لك بس بنسوي اللي نقدر عليه,لا أستطيع تأكيد ذلك لكنا سنبذل قصارى جهدنا ,ما اقدر ااكد لك بس بنسوي اللي نقدر عليه,لا استطيع تاكيد ذلك لكنا سنبذل قصارا جهدنا 
